question,type,choix,reponse,explication,lecon,lien_lecon,description
"Vous avez déjà dépensé 8 000 € sur un projet. Le terminer coûtera 2 000 € de plus et rapportera 5 000 €. Que faire ?",choix,"Abandonner car 8 000 € dépassent les 5 000 € attendus | Terminer car il reste 3 000 € à gagner | Abandonner car le projet est déficitaire au total | Terminer pour ne pas gâcher les 8 000 € déjà dépensés",Terminer car il reste 3 000 € à gagner,"Les 8 000 € sont dépensés quoi qu'il arrive : ils ne doivent plus peser dans la décision. La seule question est de comparer ce qu'il reste à payer, 2 000 €, à ce qu'il reste à gagner, 5 000 €. La dernière option arrive à la bonne décision pour une mauvaise raison, et c'est elle qui vous fera vous tromper la fois suivante.","Un coût irrécupérable est une dépense déjà engagée que rien ne récupérera. Une décision rationnelle ne compare que les coûts et les gains À VENIR. Le réflexe inverse porte un nom : l'escalade d'engagement, où l'on continue justement parce qu'on a déjà beaucoup investi.",,Coûts irrécupérables
"Vous avez payé 60 € un billet de concert non remboursable. Le soir venu, vous préféreriez nettement rester chez vous. Que dit l'analyse rationnelle ?",choix,"Il faut y aller pour rentabiliser les 60 € | Les 60 € sont perdus dans les deux cas seule compte la soirée que vous préférez | Il faut y aller car ne pas y aller serait du gaspillage | Il faut revendre le billet à tout prix",Les 60 € sont perdus dans les deux cas seule compte la soirée que vous préférez,"Que vous y alliez ou non, les 60 € ne reviendront pas. La comparaison porte entre deux soirées, pas entre une soirée et une somme déjà partie. « Rentabiliser » une dépense irrécupérable conduit à ajouter une soirée désagréable à une dépense perdue.",,,Coûts irrécupérables
"Un pari offre 40 % de chances de gagner 250 € et 60 % de risques de perdre 100 €. Quelle est l'espérance de gain, en euros ?",nombre,,40,"0,40 × 250 = 100 et 0,60 × 100 = 60, donc l'espérance vaut 100 − 60 = 40 €. Elle est positive : le pari est favorable à la longue, même s'il peut faire perdre cette fois-ci.","L'espérance de gain est la moyenne des résultats possibles, chacun pesé par sa probabilité : E = p1 × g1 + p2 × g2 + ... Les pertes comptent négativement. Une espérance positive ne garantit rien sur un coup unique ; elle dit ce qui arrive si l'on répète l'opération un grand nombre de fois.",,
"Un billet de loterie coûte 5 € et offre une chance sur 500 de gagner 2 000 €. Quelle est l'espérance de gain net, en euros ?",nombre,,-1,"Le gain espéré vaut 2 000 / 500 = 4 €, pour un billet payé 5 € : l'espérance nette vaut 4 − 5 = −1 €. Chaque billet coûte en moyenne un euro, quelle que soit la chance du joueur.",,,
"Vous consacrez un samedi à un projet personnel. Ce jour-là, un client vous aurait payé 300 € pour une mission. Quel est le coût de ce samedi ?",choix,"Zéro puisque vous n'avez rien dépensé | Les 300 € que vous n'avez pas gagnés | Le prix de votre matériel | Impossible à chiffrer",Les 300 € que vous n'avez pas gagnés,"Le coût d'une décision inclut ce à quoi elle fait renoncer : c'est le coût d'opportunité. Une ressource employée ici n'est plus disponible ailleurs, et cela se chiffre même si aucun euro ne sort de la poche.","Le coût d'opportunité d'un choix est la valeur de la meilleure option à laquelle on renonce. Il n'apparaît sur aucune facture, ce qui le rend facile à oublier, et c'est pourtant lui qui distingue une ressource rare d'une ressource gratuite.",,
"Budget disponible : 10 000 €. Projet A coûte 4 000 € et rapporte 6 000 €. Projet B coûte 6 000 € et rapporte 9 000 €. Projet C coûte 5 000 € et rapporte 7 000 €. Quelle combinaison retenir ?",choix,"A et B | A et C | B et C | A seul",A et B,"B et C coûteraient 11 000 € : hors budget. A et C rapportent 13 000 € pour 9 000 € engagés, soit 4 000 € nets. A et B rapportent 15 000 € pour 10 000 €, soit 5 000 € nets. On maximise le gain net sous contrainte, pas le gain par euro investi.",,,Allocation
"Deux entreprises se partagent un marché. Si aucune ne baisse ses prix, chacune gagne 10. Si une seule baisse, elle gagne 12 et l'autre 4. Si les deux baissent, chacune gagne 6. Que fait un acteur rationnel qui joue une seule fois ?",choix,"Il baisse ses prix quoi que fasse l'autre | Il maintient ses prix pour préserver la marge commune | Il attend de voir la décision de l'autre | Il baisse seulement si l'autre baisse",Il baisse ses prix quoi que fasse l'autre,"Si l'autre maintient, baisser rapporte 12 au lieu de 10. Si l'autre baisse, baisser rapporte 6 au lieu de 4. Baisser est donc préférable dans les deux cas. Les deux raisonnent ainsi et se retrouvent à 6, alors que 10 était à portée : c'est le dilemme du prisonnier.","Un équilibre est une situation où aucun joueur n'a intérêt à changer seul de stratégie. Il n'est pas forcément le meilleur résultat collectif. Quand chaque joueur a une stratégie préférable quelle que soit celle de l'autre, on l'appelle stratégie dominante, et l'équilibre s'impose sans négociation possible.",https://fr.wikipedia.org/wiki/Dilemme_du_prisonnier,Théorie des jeux
"Dans un jeu à somme nulle entre deux joueurs, vous gagnez 5. Que gagne l'autre joueur ?",choix,"Il gagne 5 aussi | Il perd 5 | Il ne gagne ni ne perd rien | Cela dépend de sa stratégie",Il perd 5,"Somme nulle signifie que les gains des uns sont exactement les pertes des autres : le total reste à zéro. Le partage d'un marché figé en est proche, la négociation commerciale non, car elle crée souvent de la valeur.",,,Théorie des jeux
"Vous proposez à quelqu'un un partage de 100 €. S'il refuse, aucun des deux ne touche rien. Que ferait un joueur purement calculateur face à une offre de 5 € ?",choix,"Refuser car l'offre est insultante | Accepter car 5 € valent mieux que rien | Refuser pour obtenir une meilleure offre | Négocier jusqu'à 50 €",Accepter car 5 € valent mieux que rien,"Le calcul pur compare 5 € à 0 €. En pratique, la plupart des gens refusent les offres jugées inéquitables, y compris à leur propre détriment : anticiper la décision d'autrui suppose de tenir compte de ce qui le motive vraiment, pas seulement de ses gains.",,,Anticipation
"Un projet comporte quatre tâches. A dure 3 jours. B dure 2 jours et commence après A. C dure 4 jours et démarre tout de suite, en parallèle. D dure 1 jour et ne peut commencer qu'une fois B et C terminées. En combien de jours au minimum le projet se termine-t-il ?",nombre,,6,"A puis B occupent 5 jours, C en occupe 4 en parallèle. D attend la plus tardive des deux, soit le jour 5, et dure un jour : fin au jour 6. La durée d'un projet est fixée par son chemin le plus long, pas par la somme des tâches.",,,Ordonnancement
"Vous avez choisi un pari à espérance positive, et vous avez perdu. Que conclure de votre décision ?",choix,"Elle était mauvaise puisque le résultat est mauvais | Elle restait bonne le résultat d'un tirage ne juge pas le choix | Elle était bonne et le résultat aussi | Il aurait fallu ne rien tenter",Elle restait bonne le résultat d'un tirage ne juge pas le choix,"Un bon choix peut mal tourner, et un mauvais choix peut réussir par chance. Juger une décision à son seul résultat conduit à abandonner de bonnes méthodes après un échec et à répéter des imprudences après un coup de chance.",,,Décision et résultat
"Une étude coûte 500 €. Elle permettrait d'éviter, avec certitude, une perte de 5 000 € qui menace de survenir avec une probabilité de 20 %. Faut-il la commander ?",choix,"Oui car la perte évitée vaut 1 000 € en moyenne | Non car 500 € est une dépense certaine contre un risque incertain | Oui car 5 000 € dépassent largement 500 € | Non car la probabilité est faible",Oui car la perte évitée vaut 1 000 € en moyenne,"0,20 × 5 000 = 1 000 € de perte espérée, contre 500 € de coût certain : l'information vaut deux fois son prix. Comparer 500 € aux 5 000 € bruts serait ignorer la probabilité, et s'arrêter à « la probabilité est faible » ignore l'ampleur de l'enjeu.",,,Valeur de l'information
"Vous négociez une prestation. Votre meilleure solution de rechange, si la négociation échoue, vous rapporterait 1 200 €. On vous propose 1 100 €. Que faire ?",choix,"Accepter car un client vaut mieux que pas de client | Refuser car votre solution de rechange vaut davantage | Accepter en demandant un délai de paiement | Refuser et rompre tout contact",Refuser car votre solution de rechange vaut davantage,"La solution de rechange fixe le seuil en dessous duquel un accord vous appauvrit. À 1 100 €, signer coûte 100 € par rapport à ne pas signer. Refuser n'oblige pas à rompre : on peut refuser cette offre et rester en relation.","Avant toute négociation, chiffrez votre meilleure solution de rechange : ce que vous obtenez si aucun accord n'est trouvé. C'est elle, et non votre envie de conclure, qui fixe votre seuil d'acceptation. Celui qui connaît la sienne négocie sans avoir besoin de bluffer.",,Négociation
"Vous pouvez gagner 2 000 € en livrant un travail bâclé à un client, au risque de le perdre. Il représente une commande par mois depuis deux ans. Que dit l'analyse ?",choix,"Le gain immédiat l'emporte sur un risque incertain | La relation se répète le gain unique est inférieur aux gains futurs perdus | Tout dépend de la probabilité qu'il s'en aperçoive | Il faut livrer bâclé puis compenser plus tard",La relation se répète le gain unique est inférieur aux gains futurs perdus,"Une interaction unique et une relation répétée n'appellent pas les mêmes stratégies. Ici, le gain de 2 000 € se compare à la somme de toutes les commandes à venir : l'horizon long rend la coopération rentable, sans avoir besoin d'invoquer la morale.",,,Jeux répétés
"Un projet a trois issues : 30 % de chances de rapporter 10 000 €, 50 % d'en rapporter 2 000 €, 20 % de faire perdre 5 000 €. Quelle est l'espérance de gain, en euros ?",nombre,,3000,"0,30 × 10 000 = 3 000, plus 0,50 × 2 000 = 1 000, moins 0,20 × 5 000 = 1 000. Le total vaut 3 000 €. Chaque issue pèse à hauteur de sa probabilité, y compris la mauvaise.",,,
"Vous placez toutes vos économies dans deux entreprises du même secteur, très dépendantes du même client. Qu'en dire ?",choix,"Le risque est bien réparti puisqu'il y a deux placements | La répartition est illusoire les deux risques sont liés | Le risque est nul car le secteur est porteur | Deux placements valent toujours mieux qu'un",La répartition est illusoire les deux risques sont liés,"Répartir n'a d'effet que si les risques sont indépendants. Deux actifs qui montent et descendent ensemble ne font qu'un seul risque déguisé en deux lignes de compte.",,,Risque
"Une entreprise annonce publiquement qu'elle ne baissera jamais ses prix en dessous d'un seuil, et rend cette promesse coûteuse à rompre. Pourquoi est-ce parfois efficace ?",choix,"Parce que l'annonce impressionne les clients | Parce qu'un engagement coûteux à rompre devient crédible et modifie le calcul du concurrent | Parce que cela réduit ses coûts | Parce que la loi l'y oblige",Parce qu'un engagement coûteux à rompre devient crédible et modifie le calcul du concurrent,"Se lier les mains restreint ses propres options, et c'est précisément ce qui rend la menace crédible. Le concurrent, qui anticipe qu'elle ne pourra pas reculer, adapte sa propre stratégie. Une promesse sans coût de rupture ne change le calcul de personne.",,,Engagement crédible
"Votre journée est saturée. Une tâche est urgente mais sans conséquence, une autre est importante mais sans échéance proche. Que fait-on de la seconde en général ?",choix,"On la traite en premier | On la repousse indéfiniment au profit des urgences | On la délègue systématiquement | On l'abandonne",On la repousse indéfiniment au profit des urgences,"L'urgence a une voix, l'importance non. C'est pourquoi les tâches importantes et non urgentes, celles qui construisent, sont les premières sacrifiées. Le seul remède connu est de leur réserver un créneau à l'avance, avant que les urgences ne remplissent la journée.",,,Priorisation
"Plusieurs entreprises soumissionnent pour un marché dont la valeur réelle est incertaine. Celle qui l'emporte est celle qui a proposé le prix le plus élevé. Quel risque court-elle ?",choix,"Aucun elle a gagné | Avoir surestimé la valeur du marché plus que tous les autres | Avoir sous-estimé ses coûts de production | Avoir mal rempli son dossier",Avoir surestimé la valeur du marché plus que tous les autres,"Gagner une enchère sur un bien à valeur incertaine signifie avoir été le plus optimiste de tous, donc probablement trop optimiste. C'est la malédiction du vainqueur : l'emporter est en soi une mauvaise nouvelle sur la justesse de son estimation.",,,Enchères
"Un investissement est rentable aujourd'hui, mais une information décisive sera connue dans trois mois et il sera encore possible d'investir ensuite. Que vaut l'attente ?",choix,"Rien attendre fait toujours perdre de l'argent | Elle a une valeur car décider avec l'information vaut mieux que décider sans | Elle ne vaut que si le projet est risqué | Elle équivaut à renoncer au projet",Elle a une valeur car décider avec l'information vaut mieux que décider sans,"Quand une décision est réversible et que l'information arrive, attendre est une option qui a une valeur propre. Cette valeur se compare au coût du retard : elle ne justifie pas d'attendre toujours, mais elle interdit de traiter l'attente comme une perte sèche.",,,Valeur de l'attente
