question,type,choix,reponse,explication,lecon,lien_lecon,description
"Un collègue arrive systématiquement en retard aux réunions du lundi. Vous voulez que cela cesse. Quelle entrée en matière ouvre le mieux la discussion ?",choix,"Tu es toujours en retard c'est irrespectueux | Tu es arrivé après le début des trois dernières réunions du lundi et nous reprenons tout pour toi peux-tu arriver à l'heure la semaine prochaine | Ce n'est pas grave mais essaie de faire un effort | Tout le monde a remarqué que tu n'es jamais à l'heure",Tu es arrivé après le début des trois dernières réunions du lundi et nous reprenons tout pour toi peux-tu arriver à l'heure la semaine prochaine,"La bonne réponse enchaîne un fait vérifiable, son effet concret et une demande précise. « Toujours » et « jamais » invitent à la contestation du mot plutôt qu'à l'examen du problème, l'atténuation ne demande rien de clair, et invoquer « tout le monde » transforme une remarque en jugement collectif.","La méthode DESC tient en quatre temps. Décrire le fait observable, sans adjectif. Exprimer l'effet que cela produit, de votre côté. Spécifier la demande, précise et réalisable. Conclure sur ce que cela changera. Chaque étape sautée réapparaît plus tard sous forme de malentendu.",,Feedback
"Un client vous explique longuement un problème technique. Quelle réponse montre le mieux que vous avez écouté ?",choix,"Je comprends tout à fait | Si je résume vous avez perdu deux heures parce que l'export s'est interrompu sans message d'erreur c'est bien cela | Ne vous inquiétez pas cela arrive souvent | Je vais transmettre au service concerné",Si je résume vous avez perdu deux heures parce que l'export s'est interrompu sans message d'erreur c'est bien cela,"Reformuler prouve l'écoute au lieu de l'affirmer, et permet à l'interlocuteur de corriger si vous avez mal compris. « Je comprends » ne coûte rien et ne démontre rien. Les deux dernières réponses expédient le sujet avant de l'avoir cerné.","L'écoute active se manifeste par des actes, pas par des formules. Reformuler avec ses propres mots, demander une précision sur un point concret, nommer l'émotion perçue sans l'interpréter. La reformulation a un effet secondaire utile : elle ralentit l'échange, ce qui désamorce la plupart des tensions.",,Écoute
"Un dossier que vous attendiez n'est pas arrivé et vous bloque. Quelle formulation ouvre le mieux la discussion ?",choix,"Tu ne m'as pas envoyé le dossier | Je n'ai pas reçu le dossier et je ne peux pas avancer sur la suite | Tu m'avais promis ce dossier pour hier | Il faudrait penser à envoyer les dossiers à temps",Je n'ai pas reçu le dossier et je ne peux pas avancer sur la suite,"Parler de ce que l'on constate et de l'effet sur son propre travail évite la mise en accusation. Les autres formulations désignent un coupable ou lancent une pique générale : elles appellent une justification plutôt qu'une solution.","Le message en « je » décrit votre constat et votre situation. Le message en « tu » attribue une intention ou un défaut, et déclenche presque toujours une défense. La règle pratique : si la phrase commence par « tu » suivi d'un verbe d'accusation, reformulez-la avant de l'envoyer.",,Formulation
"Vous devez annoncer à un client que la livraison aura deux semaines de retard. Quelle approche est la plus efficace ?",choix,"Attendre la date prévue en espérant rattraper le retard | Annoncer le retard dès qu'il est certain avec la nouvelle date et ce que vous mettez en place | Annoncer le retard en expliquant longuement les causes internes | Proposer une remise avant même d'annoncer le retard",Annoncer le retard dès qu'il est certain avec la nouvelle date et ce que vous mettez en place,"Une mauvaise nouvelle se dégrade avec le temps : découverte trop tard, elle ajoute la dissimulation au retard. Le client a besoin d'une date fiable pour réorganiser ce qui dépend de vous. Les causes internes l'intéressent peu, et une compensation annoncée trop tôt donne l'impression d'acheter son silence.",,,Mauvaise nouvelle
"En réunion, votre responsable présente une décision qui vous paraît risquée. Que faire ?",choix,"Se taire et en parler aux collègues après la réunion | Poser une question factuelle sur le point qui inquiète et proposer de creuser le risque identifié | Dire que la décision est une erreur | Envoyer un courriel critique après la réunion",Poser une question factuelle sur le point qui inquiète et proposer de creuser le risque identifié,"Formuler l'objection comme une question sur un point précis permet d'être entendu sans attaquer la décision ni celui qui la porte. Le silence suivi de commentaires en coulisse est la forme la plus coûteuse du désaccord : le risque n'est pas traité et la confiance s'abîme.",,,Désaccord
"Vous écrivez à trois personnes pour obtenir une validation avant vendredi. Quel objet de courriel est le plus efficace ?",choix,"Question | Validation devis fournisseur avant jeudi 17h | Suite à notre échange | Urgent",Validation devis fournisseur avant jeudi 17h,"Un objet efficace annonce l'action attendue et l'échéance : le destinataire sait quoi faire avant d'ouvrir. « Urgent » ne dit ni quoi ni quand, et s'use au bout de deux emplois. Les objets vagues font glisser le message en bas de la pile.",,,Écrit
"Parmi ces quatre phrases sur un même collègue, laquelle est un fait ?",choix,"Il est désorganisé | Il se moque des délais | Il a rendu le rapport trois jours après la date convenue | Il ne fait aucun effort",Il a rendu le rapport trois jours après la date convenue,"Un fait est observable et vérifiable par n'importe qui. Les trois autres phrases sont des interprétations ou des jugements : elles prêtent une intention ou un trait de caractère à partir du même constat. Une discussion démarrée sur un jugement porte sur le jugement, jamais sur le problème.","Trois registres à ne pas confondre. Le fait : ce qu'une caméra aurait enregistré. L'interprétation : le sens que vous donnez au fait. Le jugement : ce que vous en concluez sur la personne. Les trois sont légitimes, mais seul le premier se discute sans se disputer.",,Fait ou jugement
"Un membre de votre équipe a commis une erreur visible par tous. Quand et comment le lui dire ?",choix,"Immédiatement devant l'équipe pour que chacun en tire la leçon | En tête à tête rapidement après en décrivant le fait et ses conséquences | Lors de l'entretien annuel | Par courriel avec l'équipe en copie",En tête à tête rapidement après en décrivant le fait et ses conséquences,"Un correctif se donne en privé et sans délai : en public il humilie et l'apprentissage cède la place à la défense. Attendre l'entretien annuel rend la remarque inutilisable, et la copie collective transforme une correction en sanction publique.",,,Recadrage
"On vous demande une tâche supplémentaire que vous ne pourrez pas tenir. Quelle réponse est la meilleure ?",choix,"D'accord je vais essayer | Je ne peux pas prendre cela en plus cette semaine si c'est prioritaire dites-moi ce que je décale | Je suis débordé comme d'habitude | Non ce n'est pas mon travail",Je ne peux pas prendre cela en plus cette semaine si c'est prioritaire dites-moi ce que je décale,"Refuser en rendant l'arbitrage à celui qui demande transforme un non en décision partagée. « Je vais essayer » promet sans engager et déçoit à coup sûr. Se plaindre ou invoquer la fiche de poste ferme la discussion sans résoudre la charge.",,,Dire non
"Vous demandez une augmentation. Quel argument porte le plus ?",choix,"Mes charges ont augmenté | Un collègue au même poste gagne davantage | Voici ce que j'ai pris en charge cette année et ce que cela a rapporté | Je suis là depuis cinq ans",Voici ce que j'ai pris en charge cette année et ce que cela a rapporté,"Une rémunération se négocie sur la valeur apportée, pas sur les besoins personnels ni sur l'ancienneté, qui ne dépendent pas de l'employeur. La comparaison avec un collègue déplace la discussion sur son cas plutôt que sur le vôtre, et met votre interlocuteur en position de défendre une décision passée.",,,Négociation
"Un participant monopolise la parole depuis dix minutes et la réunion prend du retard. Quelle intervention est la plus efficace ?",choix,"Attendre qu'il termine de lui même | Je te propose qu'on note ce point et qu'on y revienne à la fin il nous reste deux sujets à traiter | Tu parles trop | Regarder ostensiblement sa montre",Je te propose qu'on note ce point et qu'on y revienne à la fin il nous reste deux sujets à traiter,"Interrompre en reconnaissant le sujet et en proposant un cadre évite de disqualifier la personne. Le signal non verbal est lu comme une critique sans permettre de répondre, et attendre fait porter le coût du retard à tout le groupe.",,,Réunion
