question,type,choix,reponse,explication,lecon,lien_lecon,description
"Un salaire net passe de 1 800 € à 1 980 € par mois. De combien augmente-t-il, en pourcentage ?",nombre,,10,"La hausse vaut 1 980 − 1 800 = 180 €. Rapportée à la valeur de départ : 180 / 1 800 = 0,10, soit 10 %. La base d'un taux de variation est toujours la valeur initiale, jamais la valeur finale.",,,Sans calculatrice
"Une voiture consomme 6 litres aux 100 km. Combien consomme-t-elle sur un trajet de 250 km, en litres ?",nombre,,15,"6 × 2,5 = 15. Une consommation aux 100 km est une proportion : on multiplie par le nombre de centaines de kilomètres.",,,
"Un plein de 45 litres est facturé 1,85 € le litre. Quel est le montant, en euros ?",nombre,,83.25,"45 × 1,85 = 83,25. Décomposer aide : 45 × 1,85 = 45 × 2 − 45 × 0,15 = 90 − 6,75.",,,Sans calculatrice
"Une recette prévue pour 4 personnes demande 300 g de riz. Combien faut-il pour 7 personnes, en grammes ?",nombre,,525,"300 / 4 = 75 g par personne, puis 75 × 7 = 525 g. C'est une quatrième proportionnelle : on passe par la valeur unitaire.",,,
"Un train parcourt 30 km en 20 minutes. Quelle est sa vitesse moyenne, en km/h ?",nombre,,90,"20 minutes valent un tiers d'heure, donc la distance parcourue en une heure vaut 30 × 3 = 90 km. Diviser 30 par 20 donnerait des km par minute, pas des km/h.",,,Attention aux unités
"Un élève obtient 12 avec un coefficient 3, et 8 avec un coefficient 1. Quelle est sa moyenne ?",nombre,,11,"(12 × 3 + 8 × 1) / (3 + 1) = (36 + 8) / 4 = 11. Une moyenne pondérée se divise par la somme des coefficients, pas par le nombre de notes.",,,
"Un manteau à 120 € est soldé de 30 %, puis une remise supplémentaire de 10 % est appliquée en caisse sur le prix déjà soldé. Quel est le prix final, en euros ?",nombre,,75.6,"120 × 0,70 = 84, puis 84 × 0,90 = 75,60. Les deux remises ne s'additionnent pas : la seconde porte sur un prix déjà réduit. Cumuler 30 + 10 donnerait 72 €, soit 3,60 € de moins que la réalité.",,,Sans calculatrice
"Un prix augmente de 20 %, puis baisse de 20 %. Que vaut le prix final ?",choix,"Exactement le prix de départ | 4 % de moins que le prix de départ | 4 % de plus que le prix de départ | Cela dépend du prix de départ",4 % de moins que le prix de départ,"1,20 × 0,80 = 0,96, soit une baisse nette de 4 %, et ce quel que soit le prix de départ. Les deux variations portent sur des bases différentes : la baisse s'applique à un prix déjà majoré.",,,Le piège classique
"Le taux de chômage d'une région passe de 8 % à 10 %. Comment le décrire correctement ?",choix,"Une hausse de 2 % | Une hausse de 2 points soit 25 % de plus | Une hausse de 20 % | Une hausse de 25 points",Une hausse de 2 points soit 25 % de plus,"L'écart entre deux pourcentages se dit en POINTS : 10 − 8 = 2 points. La variation relative, elle, vaut 2 / 8 = 25 %. Dire « une hausse de 2 % » confond les deux et sous-estime le phénomène.",,,Points ou pourcents
"Un commerçant achète un article 40 € et le revend 50 €. Quel est son taux de marge sur le prix de vente ?",choix,"20 % | 25 % | 10 % | 80 %",20 %,"La marge vaut 10 €. Rapportée au prix de VENTE : 10 / 50 = 20 %. Rapportée au prix d'ACHAT, elle vaudrait 10 / 40 = 25 % : c'est le taux de marque. Les deux chiffres sont justes, mais ils ne répondent pas à la même question.",,,Commerce
