question,type,choix,reponse,explication,lecon,lien_lecon,description
"« Si le voyant est rouge, alors la machine est à l'arrêt. » Vous constatez que la machine est en marche. Que pouvez-vous en conclure ?",choix,"Le voyant est rouge | Le voyant n'est pas rouge | On ne peut rien conclure | Le voyant est vert",Le voyant n'est pas rouge,"C'est la contraposée : de « si A alors B » on tire « si non B alors non A ». La machine en marche, donc non B, impose non A. En revanche rien ne dit de quelle couleur est le voyant : « pas rouge » ne veut pas dire « vert ».","Une implication « si A alors B » n'autorise que deux déductions. De A on tire B. De « non B » on tire « non A » : c'est la contraposée, toujours vraie quand l'implication l'est. Les deux autres formes sont des pièges : de B on ne tire pas A (réciproque), et de « non A » on ne tire pas « non B ».",,Contraposée
"« Si le colis est parti, alors le client a reçu un courriel. » Le client a bien reçu un courriel. Que pouvez-vous en conclure ?",choix,"Le colis est parti | Le colis n'est pas parti | On ne peut rien conclure sur le colis | Le courriel a été envoyé par erreur",On ne peut rien conclure sur le colis,"Conclure que le colis est parti serait affirmer la réciproque, qui n'est pas donnée. Le client a pu recevoir ce courriel pour une autre raison : relance, confirmation de commande, erreur d'envoi.","La réciproque de « si A alors B » est « si B alors A ». Ce n'est pas la même affirmation, et la vérité de l'une ne dit rien de l'autre. Quand les deux sont vraies ensemble, on écrit « A si et seulement si B ».",,Réciproque
"« Avoir le permis est nécessaire pour conduire. » Luc conduit. Que pouvez-vous en conclure ?",choix,"Luc a le permis | Luc n'a pas le permis | On ne peut rien conclure | Luc est majeur",Luc a le permis,"Une condition nécessaire est une condition sans laquelle la chose ne peut pas avoir lieu : conduire implique le permis. Attention au sens inverse : le permis ne suffit pas à faire de vous un conducteur, et l'âge n'est pas déduit ici.","Condition nécessaire : B est nécessaire à A si A implique B. Sans B, pas de A. Condition suffisante : B est suffisante pour A si B implique A. B garantit A, mais A pourrait survenir autrement. Confondre les deux inverse le sens de la flèche.",,Nécessaire ou suffisant
"« Le rapport part le vendredi seulement si les chiffres ont été validés le jeudi. » Le rapport est bien parti vendredi. Que pouvez-vous en conclure ?",choix,"Les chiffres ont été validés le jeudi | Les chiffres n'ont pas été validés | On ne peut rien conclure | Le rapport est parti en avance",Les chiffres ont été validés le jeudi,"« A seulement si B » signifie que A implique B : B est nécessaire à A. Le rapport étant parti, la validation a donc eu lieu. Le piège est de lire « seulement si » comme « si », ce qui inverserait la flèche.","« Si B alors A » et « A seulement si B » ne disent pas la même chose. La première fait de B une condition suffisante, la seconde une condition nécessaire. En français courant on les mélange ; en logique, elles sont l'inverse l'une de l'autre.",,Formulation piégeuse
"« Aucun stagiaire n'a accès au serveur de production. Paul a accès au serveur de production. » Que pouvez-vous en conclure ?",choix,"Paul est stagiaire | Paul n'est pas stagiaire | On ne peut rien conclure | Paul est administrateur",Paul n'est pas stagiaire,"Si aucun stagiaire n'a cet accès, alors quiconque l'a n'est pas stagiaire. C'est encore une contraposée. Rien ne dit en revanche quelle est sa fonction exacte.",,,Quantificateurs
"« Tous les dossiers validés portent un tampon. » Ce dossier ne porte pas de tampon. Que pouvez-vous en conclure ?",choix,"Le dossier est validé | Le dossier n'est pas validé | On ne peut rien conclure | Le tampon a été oublié",Le dossier n'est pas validé,"« Tous les validés portent un tampon » se lit « validé implique tampon ». L'absence de tampon impose donc l'absence de validation. Supposer un oubli, c'est ajouter une information que l'énoncé ne donne pas.",,,
"« Certains clients de l'agence sont des entreprises. » Que peut-on affirmer à coup sûr ?",choix,"Au moins un client est une entreprise | Tous les clients sont des entreprises | Certains clients ne sont pas des entreprises | La majorité des clients sont des entreprises",Au moins un client est une entreprise,"En logique, « certains » veut dire « au moins un », rien de plus. Il n'exclut pas que tous le soient, et ne dit rien d'une majorité. Le langage courant suggère souvent « certains mais pas tous » : c'est un ajout, pas une déduction.","Les quantificateurs. « Tous les A sont B » : aucun A sans B. « Certains A sont B » : il existe au moins un A qui est B. « Aucun A n'est B » : l'intersection est vide. Négations : la négation de « tous » est « au moins un ne l'est pas », et la négation de « certains » est « aucun ».",,
"Quelle est la négation exacte de « Tous les postes sont à jour » ?",choix,"Aucun poste n'est à jour | Au moins un poste n'est pas à jour | Tous les postes ne sont pas à jour | La plupart des postes ne sont pas à jour",Au moins un poste n'est pas à jour,"Nier un « tous », c'est exhiber un seul contre-exemple. Passer à « aucun » est beaucoup plus fort que nécessaire, et c'est l'erreur la plus fréquente.",,,
"Quelle est la négation exacte de « Certains fichiers sont corrompus » ?",choix,"Aucun fichier n'est corrompu | Tous les fichiers sont corrompus | Certains fichiers ne sont pas corrompus | La plupart des fichiers sont sains",Aucun fichier n'est corrompu,"Nier « il en existe au moins un », c'est affirmer qu'il n'en existe aucun. « Certains ne sont pas corrompus » est une tout autre affirmation, parfaitement compatible avec la première.",,,
"« Tous les membres de l'équipe A sont formés. Certains membres formés travaillent le week-end. » Que pouvez-vous en conclure sur l'équipe A ?",choix,"Certains membres de l'équipe A travaillent le week-end | Aucun membre de l'équipe A ne travaille le week-end | Rien de certain sur le travail du week-end dans l'équipe A | Tous les membres de l'équipe A travaillent le week-end",Rien de certain sur le travail du week-end dans l'équipe A,"Les membres formés qui travaillent le week-end peuvent tous venir d'autres équipes. L'équipe A est incluse dans l'ensemble des formés, mais une propriété vraie de « certains » formés ne redescend pas sur un sous-ensemble particulier.",,,
"Un panneau indique : « Accès interdit sauf aux riverains munis d'un badge. » Qui peut passer ?",choix,"Tout riverain | Toute personne munie d'un badge | Seulement un riverain qui possède aussi un badge | Personne",Seulement un riverain qui possède aussi un badge,"Les deux conditions sont liées par un ET implicite : il faut être riverain ET avoir un badge. Lire une des deux conditions seule revient à transformer la conjonction en disjonction, ce qui élargit considérablement l'autorisation.",,,Conjonction
"Trois collègues occupent les bureaux 1, 2 et 3, alignés. Carla est au bureau 3. Ana n'est pas voisine de Carla. Qui occupe le bureau 2 ?",choix,"Ana | Bruno | Carla | Impossible à déterminer",Bruno,"Carla étant en 3, le seul bureau voisin du sien est le 2. Ana ne peut donc pas y être, ni au 3 déjà occupé : elle est au 1. Il reste le bureau 2 pour Bruno.",,,Contraintes
"Quatre personnes boivent chacune une boisson différente : café, thé, eau, jus. Ana ne boit ni café ni thé. Bruno boit le jus. Carla ne boit pas de café. Qui boit le café ?",choix,"Ana | Bruno | Carla | Diego",Diego,"Bruno a le jus, donc Ana n'a ni café, ni thé, ni jus : elle boit l'eau. Restent le café et le thé pour Carla et Diego. Carla n'a pas le café, elle prend donc le thé, et Diego le café.",,,Contraintes
"Cinq candidats passent un entretien l'un après l'autre : Ana, Bilal, Chloé, David, Emma. Chloé passe en premier ou en dernier. Chloé n'est pas la première. David passe juste après Ana. Emma passe avant Bilal. Ana est en deuxième position. Qui passe en quatrième position ?",choix,"Emma | Ana | David | Bilal",Bilal,"Chloé est donc cinquième. Ana étant deuxième, David est troisième. Restent les positions 1 et 4 pour Emma et Bilal, et Emma passe avant Bilal : Emma est première, Bilal quatrième. L'ordre complet est Emma, Ana, David, Bilal, Chloé.",,,Contraintes
"« Depuis l'installation du nouveau logiciel, les ventes ont augmenté de 12 %. Le logiciel fait donc vendre. » Quelle est la faille de ce raisonnement ?",choix,"Une corrélation prise pour une cause | Une généralisation hâtive | Un appel à l'autorité | Un faux dilemme",Une corrélation prise pour une cause,"Deux faits simultanés ne sont pas pour autant liés par une cause. La hausse peut venir d'une saison, d'une campagne publicitaire, d'un concurrent défaillant, ou d'une équipe renouvelée au même moment.",,,Sophismes
"« Deux clients se sont plaints du service cette semaine. Nos clients sont mécontents. » Quelle est la faille ?",choix,"Une généralisation hâtive | Une corrélation prise pour une cause | Un faux dilemme | Un homme de paille",Une généralisation hâtive,"Deux cas ne décrivent pas une population. Il faudrait connaître le nombre total de clients servis et le taux de plainte habituel avant de conclure quoi que ce soit.",,,Sophismes
"« Soit nous doublons le budget marketing, soit l'entreprise ferme. » Quelle est la faille ?",choix,"Un faux dilemme | Un appel à l'autorité | Une généralisation hâtive | Une corrélation prise pour une cause",Un faux dilemme,"L'argument ne présente que deux issues alors qu'il en existe d'autres : réduire les coûts, changer d'offre, augmenter le budget à moitié, cibler un autre marché. Réduire le champ des possibles force la décision.",,,Sophismes
"« Le directeur technique affirme que ce cadre logiciel est le meilleur, c'est donc vrai. » Quelle est la faille ?",choix,"Un appel à l'autorité | Un faux dilemme | Une généralisation hâtive | Une pétition de principe",Un appel à l'autorité,"La compétence de celui qui parle rend son avis crédible, jamais démontré. Un argument se juge sur les raisons avancées : mesures, retours d'expérience, contraintes du projet.",,,Sophismes
"Quel nombre complète la suite : 2, 6, 12, 20, 30, ... ?",nombre,,42,"Les écarts successifs valent 4, 6, 8, 10 : ils augmentent de 2 à chaque fois. Le suivant vaut donc 12, et 30 + 12 = 42. Autre lecture : chaque terme vaut n × (n + 1), soit 6 × 7 = 42.",,,Suites
